YearMonth,AmountConsumed,Forecast,MedCode
2018-01-01,5.0,,3300142
2018-02-01,7.0,,3300142
2018-03-01,8.0,,3300142
2018-04-01,17.0,,3300142
2018-05-01,8.0,,3300142
2018-06-01,11.0,,3300142
2018-07-01,8.0,,3300142
2018-08-01,5.0,,3300142
2018-09-01,5.0,,3300142
2018-10-01,3.0,,3300142
2018-11-01,4.0,,3300142
2018-12-01,6.0,,3300142
2019-01-01,1.0,,3300142
2019-02-01,7.0,,3300142
2019-03-01,5.0,,3300142
2019-04-01,12.0,,3300142
2019-05-01,1.0,,3300142
2019-06-01,2.0,,3300142
2019-07-01,8.0,,3300142
2019-08-01,7.0,,3300142
2019-09-01,3.0,,3300142
2019-10-01,4.0,,3300142
2019-11-01,10.0,,3300142
2019-12-01,11.0,,3300142
2020-01-01,4.0,5.559689068403815,3300142
2020-02-01,5.0,6.272373226582483,3300142
2020-03-01,2.0,4.296794449886077,3300142
