YearMonth,AmountConsumed,Forecast,MedCode
2018-01-01,6.0,,3302934
2018-02-01,7.0,,3302934
2018-03-01,8.0,,3302934
2018-04-01,4.0,,3302934
2018-05-01,6.0,,3302934
2018-06-01,3.0,,3302934
2018-07-01,4.0,,3302934
2018-08-01,11.0,,3302934
2018-09-01,11.0,,3302934
2018-10-01,3.0,,3302934
2018-11-01,5.0,,3302934
2018-12-01,1.0,,3302934
2019-01-01,9.0,,3302934
2019-02-01,6.0,,3302934
2019-03-01,5.0,,3302934
2019-04-01,5.0,,3302934
2019-05-01,6.0,,3302934
2019-06-01,5.0,,3302934
2019-07-01,9.0,,3302934
2019-08-01,4.0,,3302934
2019-09-01,7.0,,3302934
2019-10-01,9.0,,3302934
2019-11-01,3.0,,3302934
2019-12-01,10.0,,3302934
2020-01-01,4.0,6.080256885608909,3302934
2020-02-01,4.0,7.97266147098023,3302934
2020-03-01,5.0,8.791288570011222,3302934
