YearMonth,AmountConsumed,Forecast,MedCode
2018-01-01,44.0,,3500322
2018-02-01,41.0,,3500322
2018-03-01,74.0,,3500322
2018-04-01,43.0,,3500322
2018-05-01,42.0,,3500322
2018-06-01,22.0,,3500322
2018-07-01,37.0,,3500322
2018-08-01,43.0,,3500322
2018-09-01,43.0,,3500322
2018-10-01,37.0,,3500322
2018-11-01,20.0,,3500322
2018-12-01,24.0,,3500322
2019-01-01,37.0,,3500322
2019-02-01,22.0,,3500322
2019-03-01,42.0,,3500322
2019-04-01,70.0,,3500322
2019-05-01,107.0,,3500322
2019-06-01,95.0,,3500322
2019-07-01,115.0,,3500322
2019-08-01,100.0,,3500322
2019-09-01,116.0,,3500322
2019-10-01,146.0,,3500322
2019-11-01,89.0,,3500322
2019-12-01,74.0,,3500322
2020-01-01,85.0,77.58433259076384,3500322
2020-02-01,92.0,78.99413514825243,3500322
2020-03-01,88.0,80.59220497278535,3500322
